Season,Home Team,Away Team,Home Team Goals,Away Team Goals,Score,Winner,Loser
1999/00,Bordeaux,Bastia,3,2,5,Bordeaux,Bastia
1999/00,Monaco,St Etienne,2,2,4,Draw,Draw
1999/00,Auxerre,Nancy,2,1,3,Auxerre,Nancy
1999/00,Lyon,Montpellier,1,2,3,Montpellier,Lyon
1999/00,Marseille,Sedan,3,0,3,Marseille,Sedan
1999/00,Metz,Rennes,0,0,0,Draw,Draw
1999/00,Nantes,Le Havre,1,0,1,Nantes,Le Havre
1999/00,Paris SG,Troyes,1,0,1,Paris SG,Troyes
1999/00,Strasbourg,Lens,1,0,1,Strasbourg,Lens
1999/00,Le Havre,Marseille,0,0,0,Draw,Draw
1999/00,Troyes,Lyon,1,2,3,Lyon,Troyes
1999/00,Bastia,Strasbourg,3,0,3,Bastia,Strasbourg
1999/00,Lens,Monaco,1,0,1,Lens,Monaco
1999/00,Sedan,Nancy,3,1,4,Sedan,Nancy
1999/00,St Etienne,Nantes,0,2,2,Nantes,St Etienne
1999/00,Metz,Auxerre,3,0,3,Metz,Auxerre
1999/00,Montpellier,Bordeaux,2,2,4,Draw,Draw
1999/00,Rennes,Paris SG,1,3,4,Paris SG,Rennes
1999/00,Auxerre,Sedan,3,1,4,Auxerre,Sedan
1999/00,Bordeaux,Troyes,4,0,4,Bordeaux,Troyes
1999/00,Monaco,Bastia,4,0,4,Monaco,Bastia
1999/00,Nancy,Le Havre,3,0,3,Nancy,Le Havre
1999/00,Nantes,Lens,0,1,1,Lens,Nantes
1999/00,Paris SG,Metz,2,1,3,Paris SG,Metz
1999/00,Strasbourg,Montpellier,2,0,2,Strasbourg,Montpellier
1999/00,Lyon,Rennes,2,2,4,Draw,Draw
1999/00,Marseille,St Etienne,3,3,6,Draw,Draw
1999/00,Le Havre,Sedan,2,1,3,Le Havre,Sedan
1999/00,Metz,Lyon,0,1,1,Lyon,Metz
1999/00,Montpellier,Monaco,2,3,5,Monaco,Montpellier
1999/00,Paris SG,Auxerre,1,1,2,Draw,Draw
1999/00,Rennes,Bordeaux,2,1,3,Rennes,Bordeaux
1999/00,St Etienne,Nancy,2,1,3,St Etienne,Nancy
1999/00,Troyes,Strasbourg,2,1,3,Troyes,Strasbourg
1999/00,Bastia,Nantes,2,1,3,Bastia,Nantes
1999/00,Lens,Marseille,0,0,0,Draw,Draw
1999/00,Auxerre,Le Havre,2,1,3,Auxerre,Le Havre
1999/00,Bordeaux,Metz,0,0,0,Draw,Draw
1999/00,Marseille,Bastia,1,1,2,Draw,Draw
1999/00,Nancy,Lens,2,1,3,Nancy,Lens
1999/00,Nantes,Montpellier,3,0,3,Nantes,Montpellier
1999/00,Sedan,St Etienne,3,2,5,Sedan,St Etienne
1999/00,Strasbourg,Rennes,2,1,3,Strasbourg,Rennes
1999/00,Lyon,Paris SG,1,0,1,Lyon,Paris SG
1999/00,Monaco,Troyes,3,0,3,Monaco,Troyes
1999/00,Bastia,Nancy,1,1,2,Draw,Draw
1999/00,Lens,Sedan,0,3,3,Sedan,Lens
1999/00,Lyon,Auxerre,0,0,0,Draw,Draw
1999/00,Metz,Strasbourg,0,0,0,Draw,Draw
1999/00,Montpellier,Marseille,3,1,4,Montpellier,Marseille
1999/00,St Etienne,Le Havre,3,3,6,Draw,Draw
1999/00,Troyes,Nantes,1,0,1,Troyes,Nantes
1999/00,Paris SG,Bordeaux,2,1,3,Paris SG,Bordeaux
1999/00,Rennes,Monaco,2,1,3,Rennes,Monaco
1999/00,Auxerre,St Etienne,2,1,3,Auxerre,St Etienne
1999/00,Bordeaux,Lyon,1,3,4,Lyon,Bordeaux
1999/00,Le Havre,Lens,1,1,2,Draw,Draw
1999/00,Marseille,Troyes,1,0,1,Marseille,Troyes
1999/00,Monaco,Metz,2,2,4,Draw,Draw
1999/00,Nancy,Montpellier,1,2,3,Montpellier,Nancy
1999/00,Nantes,Rennes,3,0,3,Nantes,Rennes
1999/00,Sedan,Bastia,2,0,2,Sedan,Bastia
1999/00,Strasbourg,Paris SG,1,1,2,Draw,Draw
1999/00,Bastia,Le Havre,1,1,2,Draw,Draw
1999/00,Bordeaux,Auxerre,1,0,1,Bordeaux,Auxerre
1999/00,Lyon,Strasbourg,0,0,0,Draw,Draw
1999/00,Metz,Nantes,2,1,3,Metz,Nantes
1999/00,Montpellier,Sedan,1,1,2,Draw,Draw
1999/00,Paris SG,Monaco,0,3,3,Monaco,Paris SG
1999/00,Troyes,Nancy,2,0,2,Troyes,Nancy
1999/00,Lens,St Etienne,0,2,2,St Etienne,Lens
1999/00,Rennes,Marseille,1,2,3,Marseille,Rennes
1999/00,Le Havre,Montpellier,2,1,3,Le Havre,Montpellier
1999/00,Marseille,Metz,1,1,2,Draw,Draw
1999/00,Nancy,Rennes,3,0,3,Nancy,Rennes
1999/00,Sedan,Troyes,2,1,3,Sedan,Troyes
1999/00,St Etienne,Bastia,1,1,2,Draw,Draw
1999/00,Strasbourg,Bordeaux,2,2,4,Draw,Draw
1999/00,Auxerre,Lens,3,2,5,Auxerre,Lens
1999/00,Monaco,Lyon,1,0,1,Monaco,Lyon
1999/00,Nantes,Paris SG,0,4,4,Paris SG,Nantes
1999/00,Lyon,Nantes,2,0,2,Lyon,Nantes
1999/00,Paris SG,Marseille,0,2,2,Marseille,Paris SG
1999/00,Bastia,Lens,2,0,2,Bastia,Lens
1999/00,Bordeaux,Monaco,3,2,5,Bordeaux,Monaco
1999/00,Metz,Nancy,2,2,4,Draw,Draw
1999/00,Montpellier,St Etienne,0,1,1,St Etienne,Montpellier
1999/00,Rennes,Sedan,5,0,5,Rennes,Sedan
1999/00,Strasbourg,Auxerre,1,3,4,Auxerre,Strasbourg
1999/00,Troyes,Le Havre,3,1,4,Troyes,Le Havre
1999/00,Marseille,Lyon,0,1,1,Lyon,Marseille
1999/00,Auxerre,Bastia,3,1,4,Auxerre,Bastia
1999/00,Le Havre,Rennes,0,1,1,Rennes,Le Havre
1999/00,Lens,Montpellier,1,0,1,Lens,Montpellier
1999/00,Monaco,Strasbourg,3,0,3,Monaco,Strasbourg
1999/00,Nancy,Paris SG,1,1,2,Draw,Draw
1999/00,Nantes,Bordeaux,0,1,1,Bordeaux,Nantes
1999/00,St Etienne,Troyes,1,0,1,St Etienne,Troyes
1999/00,Sedan,Metz,0,2,2,Metz,Sedan
1999/00,Nantes,Monaco,0,3,3,Monaco,Nantes
1999/00,Sedan,Lyon,2,0,2,Sedan,Lyon
1999/00,Bordeaux,Marseille,2,1,3,Bordeaux,Marseille
1999/00,Rennes,St Etienne,4,1,5,Rennes,St Etienne
1999/00,Lyon,Nancy,2,1,3,Lyon,Nancy
1999/00,Metz,Le Havre,3,0,3,Metz,Le Havre
1999/00,Montpellier,Bastia,1,1,2,Draw,Draw
1999/00,Paris SG,Sedan,3,2,5,Paris SG,Sedan
1999/00,Strasbourg,Nantes,3,2,5,Strasbourg,Nantes
1999/00,Troyes,Lens,0,1,1,Lens,Troyes
1999/00,Auxerre,Montpellier,2,1,3,Auxerre,Montpellier
1999/00,Bastia,Troyes,5,0,5,Bastia,Troyes
1999/00,Le Havre,Paris SG,3,1,4,Le Havre,Paris SG
1999/00,Marseille,Strasbourg,4,1,5,Marseille,Strasbourg
1999/00,Nancy,Bordeaux,2,2,4,Draw,Draw
1999/00,St Etienne,Metz,2,0,2,St Etienne,Metz
1999/00,Lens,Rennes,1,1,2,Draw,Draw
1999/00,Bordeaux,Sedan,1,1,2,Draw,Draw
1999/00,Paris SG,St Etienne,2,0,2,Paris SG,St Etienne
1999/00,Rennes,Bastia,0,0,0,Draw,Draw
1999/00,Strasbourg,Nancy,0,2,2,Nancy,Strasbourg
1999/00,Lyon,Le Havre,3,0,3,Lyon,Le Havre
1999/00,Metz,Lens,0,0,0,Draw,Draw
1999/00,Monaco,Marseille,1,1,2,Draw,Draw
1999/00,Nantes,Auxerre,3,1,4,Nantes,Auxerre
1999/00,Troyes,Montpellier,2,1,3,Troyes,Montpellier
1999/00,Sedan,Strasbourg,2,1,3,Sedan,Strasbourg
1999/00,Auxerre,Troyes,0,1,1,Troyes,Auxerre
1999/00,Bastia,Metz,0,0,0,Draw,Draw
1999/00,Le Havre,Bordeaux,3,0,3,Le Havre,Bordeaux
1999/00,Lens,Paris SG,3,2,5,Lens,Paris SG
1999/00,Marseille,Nantes,1,1,2,Draw,Draw
1999/00,Montpellier,Rennes,1,2,3,Rennes,Montpellier
1999/00,Nancy,Monaco,1,2,3,Monaco,Nancy
1999/00,St Etienne,Lyon,1,1,2,Draw,Draw
1999/00,Bordeaux,St Etienne,1,2,3,St Etienne,Bordeaux
1999/00,Metz,Montpellier,2,2,4,Draw,Draw
1999/00,Paris SG,Bastia,2,0,2,Paris SG,Bastia
1999/00,Rennes,Troyes,2,2,4,Draw,Draw
1999/00,Strasbourg,Le Havre,0,1,1,Le Havre,Strasbourg
1999/00,Lyon,Lens,1,0,1,Lyon,Lens
1999/00,Marseille,Auxerre,0,1,1,Auxerre,Marseille
1999/00,Monaco,Sedan,2,1,3,Monaco,Sedan
1999/00,Nantes,Nancy,2,0,2,Nantes,Nancy
1999/00,Le Havre,Monaco,1,4,5,Monaco,Le Havre
1999/00,Montpellier,Paris SG,0,1,1,Paris SG,Montpellier
1999/00,Nancy,Marseille,2,2,4,Draw,Draw
1999/00,Rennes,Auxerre,1,0,1,Rennes,Auxerre
1999/00,St Etienne,Strasbourg,0,1,1,Strasbourg,St Etienne
1999/00,Troyes,Metz,2,2,4,Draw,Draw
1999/00,Bastia,Lyon,3,0,3,Bastia,Lyon
1999/00,Lens,Bordeaux,3,3,6,Draw,Draw
1999/00,Sedan,Nantes,0,0,0,Draw,Draw
1999/00,Monaco,Auxerre,2,0,2,Monaco,Auxerre
1999/00,Bordeaux,Montpellier,2,0,2,Bordeaux,Montpellier
1999/00,Lyon,Troyes,1,3,4,Troyes,Lyon
1999/00,Marseille,Le Havre,2,0,2,Marseille,Le Havre
1999/00,Nancy,Sedan,0,2,2,Sedan,Nancy
1999/00,Nantes,St Etienne,0,1,1,St Etienne,Nantes
1999/00,Strasbourg,Bastia,2,0,2,Strasbourg,Bastia
1999/00,Auxerre,Metz,1,1,2,Draw,Draw
1999/00,Monaco,Lens,2,0,2,Monaco,Lens
1999/00,Paris SG,Rennes,1,0,1,Paris SG,Rennes
1999/00,Le Havre,Nancy,0,1,1,Nancy,Le Havre
1999/00,Montpellier,Strasbourg,1,1,2,Draw,Draw
1999/00,Rennes,Lyon,1,2,3,Lyon,Rennes
1999/00,Sedan,Auxerre,1,1,2,Draw,Draw
1999/00,Troyes,Bordeaux,2,0,2,Troyes,Bordeaux
1999/00,Bastia,Monaco,1,0,1,Bastia,Monaco
1999/00,Metz,Paris SG,1,3,4,Paris SG,Metz
1999/00,St Etienne,Marseille,5,1,6,St Etienne,Marseille
1999/00,Lens,Nantes,1,2,3,Nantes,Lens
1999/00,Auxerre,Paris SG,1,0,1,Auxerre,Paris SG
1999/00,Bordeaux,Rennes,1,0,1,Bordeaux,Rennes
1999/00,Lyon,Metz,2,0,2,Lyon,Metz
1999/00,Marseille,Lens,1,2,3,Lens,Marseille
1999/00,Monaco,Montpellier,1,0,1,Monaco,Montpellier
1999/00,Nancy,St Etienne,1,0,1,Nancy,St Etienne
1999/00,Nantes,Bastia,1,1,2,Draw,Draw
1999/00,Metz,Bordeaux,2,1,3,Metz,Bordeaux
1999/00,Paris SG,Lyon,2,2,4,Draw,Draw
1999/00,Bastia,Marseille,0,0,0,Draw,Draw
1999/00,Le Havre,Auxerre,0,0,0,Draw,Draw
1999/00,Lens,Nancy,0,1,1,Nancy,Lens
1999/00,Montpellier,Nantes,3,0,3,Montpellier,Nantes
1999/00,Rennes,Strasbourg,2,1,3,Rennes,Strasbourg
1999/00,St Etienne,Sedan,2,3,5,Sedan,St Etienne
1999/00,Troyes,Monaco,1,4,5,Monaco,Troyes
1999/00,Auxerre,Lyon,2,0,2,Auxerre,Lyon
1999/00,Le Havre,St Etienne,1,0,1,Le Havre,St Etienne
1999/00,Monaco,Rennes,3,1,4,Monaco,Rennes
1999/00,Nancy,Bastia,1,0,1,Nancy,Bastia
1999/00,Nantes,Troyes,3,0,3,Nantes,Troyes
1999/00,Sedan,Lens,0,0,0,Draw,Draw
1999/00,Strasbourg,Metz,1,1,2,Draw,Draw
1999/00,Bordeaux,Paris SG,1,1,2,Draw,Draw
1999/00,Marseille,Montpellier,0,0,0,Draw,Draw
1999/00,Sedan,Le Havre,0,1,1,Le Havre,Sedan
1999/00,Strasbourg,Troyes,2,0,2,Strasbourg,Troyes
1999/00,Metz,Monaco,1,1,2,Draw,Draw
1999/00,Troyes,Marseille,1,2,3,Marseille,Troyes
1999/00,Bastia,Sedan,1,0,1,Bastia,Sedan
1999/00,Lens,Le Havre,4,0,4,Lens,Le Havre
1999/00,Lyon,Bordeaux,1,1,2,Draw,Draw
1999/00,Montpellier,Nancy,1,0,1,Montpellier,Nancy
1999/00,Paris SG,Strasbourg,4,2,6,Paris SG,Strasbourg
1999/00,Rennes,Nantes,0,0,0,Draw,Draw
1999/00,St Etienne,Auxerre,0,0,0,Draw,Draw
1999/00,Auxerre,Bordeaux,1,0,1,Auxerre,Bordeaux
1999/00,Monaco,Paris SG,1,0,1,Monaco,Paris SG
1999/00,Le Havre,Bastia,2,2,4,Draw,Draw
1999/00,Marseille,Rennes,1,1,2,Draw,Draw
1999/00,Nancy,Troyes,1,2,3,Troyes,Nancy
1999/00,Nantes,Metz,1,3,4,Metz,Nantes
1999/00,Sedan,Montpellier,2,1,3,Sedan,Montpellier
1999/00,St Etienne,Lens,0,2,2,Lens,St Etienne
1999/00,Strasbourg,Lyon,4,2,6,Strasbourg,Lyon
1999/00,Bastia,St Etienne,4,0,4,Bastia,St Etienne
1999/00,Bordeaux,Strasbourg,3,0,3,Bordeaux,Strasbourg
1999/00,Lens,Auxerre,2,1,3,Lens,Auxerre
1999/00,Montpellier,Le Havre,0,0,0,Draw,Draw
1999/00,Paris SG,Nantes,0,0,0,Draw,Draw
1999/00,Rennes,Nancy,3,1,4,Rennes,Nancy
1999/00,Troyes,Sedan,0,2,2,Sedan,Troyes
1999/00,Lyon,Monaco,2,1,3,Lyon,Monaco
1999/00,Metz,Marseille,2,0,2,Metz,Marseille
1999/00,Marseille,Paris SG,4,1,5,Marseille,Paris SG
1999/00,Nantes,Lyon,6,1,7,Nantes,Lyon
1999/00,Auxerre,Strasbourg,0,1,1,Strasbourg,Auxerre
1999/00,Le Havre,Troyes,2,0,2,Le Havre,Troyes
1999/00,Lens,Bastia,4,0,4,Lens,Bastia
1999/00,Monaco,Bordeaux,1,0,1,Monaco,Bordeaux
1999/00,Nancy,Metz,0,0,0,Draw,Draw
1999/00,Sedan,Rennes,2,1,3,Sedan,Rennes
1999/00,St Etienne,Montpellier,5,4,9,St Etienne,Montpellier
1999/00,Bastia,Auxerre,2,0,2,Bastia,Auxerre
1999/00,Bordeaux,Nantes,3,0,3,Bordeaux,Nantes
1999/00,Lyon,Marseille,2,0,2,Lyon,Marseille
1999/00,Metz,Sedan,1,1,2,Draw,Draw
1999/00,Montpellier,Lens,1,1,2,Draw,Draw
1999/00,Paris SG,Nancy,1,1,2,Draw,Draw
1999/00,Rennes,Le Havre,2,1,3,Rennes,Le Havre
1999/00,Troyes,St Etienne,0,1,1,St Etienne,Troyes
1999/00,Strasbourg,Monaco,3,2,5,Strasbourg,Monaco
1999/00,Bastia,Montpellier,1,0,1,Bastia,Montpellier
1999/00,Le Havre,Metz,1,0,1,Le Havre,Metz
1999/00,Marseille,Bordeaux,0,2,2,Bordeaux,Marseille
1999/00,Nantes,Strasbourg,3,1,4,Nantes,Strasbourg
1999/00,Sedan,Paris SG,1,1,2,Draw,Draw
1999/00,St Etienne,Rennes,1,0,1,St Etienne,Rennes
1999/00,Auxerre,Monaco,0,2,2,Monaco,Auxerre
1999/00,Lens,Troyes,0,1,1,Troyes,Lens
1999/00,Nancy,Lyon,1,0,1,Nancy,Lyon
1999/00,Bordeaux,Nancy,2,1,3,Bordeaux,Nancy
1999/00,Metz,St Etienne,1,1,2,Draw,Draw
1999/00,Montpellier,Auxerre,2,0,2,Montpellier,Auxerre
1999/00,Paris SG,Le Havre,2,1,3,Paris SG,Le Havre
1999/00,Strasbourg,Marseille,3,1,4,Strasbourg,Marseille
1999/00,Troyes,Bastia,1,0,1,Troyes,Bastia
1999/00,Lyon,Sedan,2,0,2,Lyon,Sedan
1999/00,Monaco,Nantes,2,0,2,Monaco,Nantes
1999/00,Rennes,Lens,3,0,3,Rennes,Lens
1999/00,Marseille,Monaco,4,2,6,Marseille,Monaco
1999/00,Sedan,Bordeaux,0,1,1,Bordeaux,Sedan
1999/00,Auxerre,Nantes,1,1,2,Draw,Draw
1999/00,Bastia,Rennes,4,2,6,Bastia,Rennes
1999/00,Le Havre,Lyon,0,1,1,Lyon,Le Havre
1999/00,Montpellier,Troyes,2,2,4,Draw,Draw
1999/00,Nancy,Strasbourg,2,3,5,Strasbourg,Nancy
1999/00,St Etienne,Paris SG,1,1,2,Draw,Draw
1999/00,Lens,Metz,1,0,1,Lens,Metz
1999/00,Lyon,St Etienne,0,0,0,Draw,Draw
1999/00,Paris SG,Lens,4,1,5,Paris SG,Lens
1999/00,Bordeaux,Le Havre,3,0,3,Bordeaux,Le Havre
1999/00,Metz,Bastia,1,1,2,Draw,Draw
1999/00,Monaco,Nancy,2,2,4,Draw,Draw
1999/00,Nantes,Marseille,0,0,0,Draw,Draw
1999/00,Rennes,Montpellier,1,3,4,Montpellier,Rennes
1999/00,Strasbourg,Sedan,1,1,2,Draw,Draw
1999/00,Troyes,Auxerre,2,0,2,Troyes,Auxerre
1999/00,Le Havre,Strasbourg,0,1,1,Strasbourg,Le Havre
1999/00,Lens,Lyon,4,3,7,Lens,Lyon
1999/00,Montpellier,Metz,0,1,1,Metz,Montpellier
1999/00,Nancy,Nantes,2,1,3,Nancy,Nantes
1999/00,Sedan,Monaco,2,1,3,Sedan,Monaco
1999/00,St Etienne,Bordeaux,1,2,3,Bordeaux,St Etienne
1999/00,Troyes,Rennes,1,0,1,Troyes,Rennes
1999/00,Auxerre,Marseille,2,2,4,Draw,Draw
1999/00,Bastia,Paris SG,1,2,3,Paris SG,Bastia
1999/00,Auxerre,Rennes,4,0,4,Auxerre,Rennes
1999/00,Bordeaux,Lens,1,2,3,Lens,Bordeaux
1999/00,Lyon,Bastia,2,1,3,Lyon,Bastia
1999/00,Marseille,Nancy,2,2,4,Draw,Draw
1999/00,Metz,Troyes,3,1,4,Metz,Troyes
1999/00,Monaco,Le Havre,5,2,7,Monaco,Le Havre
1999/00,Nantes,Sedan,1,0,1,Nantes,Sedan
1999/00,Paris SG,Montpellier,3,0,3,Paris SG,Montpellier
1999/00,Strasbourg,St Etienne,0,1,1,St Etienne,Strasbourg
1999/00,Bastia,Bordeaux,1,1,2,Draw,Draw
1999/00,Le Havre,Nantes,0,1,1,Nantes,Le Havre
1999/00,Lens,Strasbourg,3,0,3,Lens,Strasbourg
1999/00,Montpellier,Lyon,2,2,4,Draw,Draw
1999/00,Nancy,Auxerre,2,0,2,Nancy,Auxerre
1999/00,Rennes,Metz,2,0,2,Rennes,Metz
1999/00,Sedan,Marseille,2,2,4,Draw,Draw
1999/00,St Etienne,Monaco,3,1,4,St Etienne,Monaco
1999/00,Troyes,Paris SG,2,2,4,Draw,Draw
2000/01,Marseille,Troyes,3,1,4,Marseille,Troyes
2000/01,Paris SG,Strasbourg,3,1,4,Paris SG,Strasbourg
2000/01,Auxerre,Sedan,0,1,1,Sedan,Auxerre
2000/01,Bordeaux,Metz,1,1,2,Draw,Draw
2000/01,Guingamp,St Etienne,2,2,4,Draw,Draw
2000/01,Lille,Monaco,1,1,2,Draw,Draw
2000/01,Lyon,Rennes,2,2,4,Draw,Draw
2000/01,Nantes,Lens,0,2,2,Lens,Nantes
2000/01,Toulouse,Bastia,0,1,1,Bastia,Toulouse
2000/01,Sedan,Lyon,1,1,2,Draw,Draw
2000/01,Monaco,Nantes,2,5,7,Nantes,Monaco
2000/01,St Etienne,Marseille,3,0,3,St Etienne,Marseille
2000/01,Bastia,Bordeaux,2,0,2,Bastia,Bordeaux
2000/01,Lens,Guingamp,3,2,5,Lens,Guingamp
2000/01,Metz,Auxerre,1,2,3,Auxerre,Metz
2000/01,Rennes,Paris SG,1,1,2,Draw,Draw
2000/01,Strasbourg,Lille,0,4,4,Lille,Strasbourg
2000/01,Troyes,Toulouse,1,1,2,Draw,Draw
2000/01,Auxerre,Bastia,1,0,1,Auxerre,Bastia
2000/01,Bordeaux,Troyes,2,2,4,Draw,Draw
2000/01,Guingamp,Nantes,0,1,1,Nantes,Guingamp
2000/01,Lille,Rennes,1,0,1,Lille,Rennes
2000/01,Lyon,Metz,0,0,0,Draw,Draw
2000/01,Strasbourg,Monaco,1,3,4,Monaco,Strasbourg
2000/01,Toulouse,St Etienne,1,1,2,Draw,Draw
2000/01,Marseille,Lens,0,0,0,Draw,Draw
2000/01,Paris SG,Sedan,2,1,3,Paris SG,Sedan
2000/01,Bastia,Lyon,2,0,2,Bastia,Lyon
2000/01,Lens,Toulouse,2,1,3,Lens,Toulouse
2000/01,Metz,Paris SG,1,0,1,Metz,Paris SG
2000/01,Nantes,Marseille,3,2,5,Nantes,Marseille
2000/01,Rennes,Strasbourg,3,0,3,Rennes,Strasbourg
2000/01,Sedan,Lille,1,0,1,Sedan,Lille
2000/01,St Etienne,Bordeaux,1,0,1,St Etienne,Bordeaux
2000/01,Troyes,Auxerre,1,0,1,Troyes,Auxerre
2000/01,Monaco,Guingamp,1,0,1,Monaco,Guingamp
2000/01,Bordeaux,Lens,1,1,2,Draw,Draw
2000/01,Lille,Metz,2,1,3,Lille,Metz
2000/01,Lyon,Troyes,1,0,1,Lyon,Troyes
2000/01,Marseille,Guingamp,3,1,4,Marseille,Guingamp
2000/01,Rennes,Monaco,1,1,2,Draw,Draw
2000/01,Strasbourg,Sedan,3,2,5,Strasbourg,Sedan
2000/01,Toulouse,Nantes,1,1,2,Draw,Draw
2000/01,Auxerre,St Etienne,4,3,7,Auxerre,St Etienne
2000/01,Paris SG,Bastia,3,1,4,Paris SG,Bastia
2000/01,Monaco,Marseille,0,2,2,Marseille,Monaco
2000/01,Bastia,Lille,1,0,1,Bastia,Lille
2000/01,Guingamp,Toulouse,2,1,3,Guingamp,Toulouse
2000/01,Lens,Auxerre,1,0,1,Lens,Auxerre
2000/01,Metz,Strasbourg,1,0,1,Metz,Strasbourg
2000/01,Nantes,Bordeaux,0,5,5,Bordeaux,Nantes
2000/01,St Etienne,Lyon,2,2,4,Draw,Draw
2000/01,Troyes,Paris SG,5,3,8,Troyes,Paris SG
2000/01,Auxerre,Nantes,2,2,4,Draw,Draw
2000/01,Bordeaux,Guingamp,0,2,2,Guingamp,Bordeaux
2000/01,Lille,Troyes,1,2,3,Troyes,Lille
2000/01,Lyon,Lens,3,0,3,Lyon,Lens
2000/01,Paris SG,St Etienne,5,1,6,Paris SG,St Etienne
2000/01,Rennes,Metz,0,1,1,Metz,Rennes
2000/01,Sedan,Monaco,1,0,1,Sedan,Monaco
2000/01,Strasbourg,Bastia,1,4,5,Bastia,Strasbourg
2000/01,Toulouse,Marseille,2,0,2,Toulouse,Marseille
2000/01,Bastia,Rennes,0,2,2,Rennes,Bastia
2000/01,Guingamp,Auxerre,1,0,1,Guingamp,Auxerre
2000/01,Lens,Paris SG,1,1,2,Draw,Draw
2000/01,Marseille,Bordeaux,0,1,1,Bordeaux,Marseille
2000/01,Metz,Sedan,1,0,1,Metz,Sedan
2000/01,Monaco,Toulouse,3,0,3,Monaco,Toulouse
2000/01,Troyes,Strasbourg,0,1,1,Strasbourg,Troyes
2000/01,Nantes,Lyon,0,1,1,Lyon,Nantes
2000/01,St Etienne,Lille,1,1,2,Draw,Draw
2000/01,Auxerre,Marseille,0,1,1,Marseille,Auxerre
2000/01,Bordeaux,Toulouse,2,1,3,Bordeaux,Toulouse
2000/01,Lyon,Guingamp,0,1,1,Guingamp,Lyon
2000/01,Metz,Monaco,1,3,4,Monaco,Metz
2000/01,Paris SG,Nantes,2,1,3,Paris SG,Nantes
2000/01,Rennes,Troyes,0,2,2,Troyes,Rennes
2000/01,Sedan,Bastia,3,3,6,Draw,Draw
2000/01,Strasbourg,St Etienne,3,2,5,Strasbourg,St Etienne
2000/01,Lille,Lens,2,1,3,Lille,Lens
2000/01,Bastia,Metz,1,0,1,Bastia,Metz
2000/01,Guingamp,Paris SG,1,1,2,Draw,Draw
2000/01,Lens,Strasbourg,0,0,0,Draw,Draw
2000/01,Monaco,Bordeaux,2,2,4,Draw,Draw
2000/01,St Etienne,Rennes,0,2,2,Rennes,St Etienne
2000/01,Toulouse,Auxerre,0,1,1,Auxerre,Toulouse
2000/01,Troyes,Sedan,1,1,2,Draw,Draw
2000/01,Marseille,Lyon,1,1,2,Draw,Draw
2000/01,Nantes,Lille,0,0,0,Draw,Draw
2000/01,Sedan,Rennes,2,1,3,Sedan,Rennes
2000/01,Bastia,Monaco,0,2,2,Monaco,Bastia
2000/01,Paris SG,Marseille,2,0,2,Paris SG,Marseille
2000/01,Lille,Guingamp,1,1,2,Draw,Draw
2000/01,Metz,Troyes,2,2,4,Draw,Draw
2000/01,Rennes,Lens,1,0,1,Rennes,Lens
2000/01,Sedan,St Etienne,2,1,3,Sedan,St Etienne
2000/01,Strasbourg,Nantes,0,5,5,Nantes,Strasbourg
2000/01,Auxerre,Bordeaux,0,2,2,Bordeaux,Auxerre
2000/01,Bordeaux,Lyon,1,1,2,Draw,Draw
2000/01,Guingamp,Strasbourg,2,1,3,Guingamp,Strasbourg
2000/01,Lens,Sedan,1,1,2,Draw,Draw
2000/01,Monaco,Auxerre,1,1,2,Draw,Draw
2000/01,Nantes,Rennes,1,0,1,Nantes,Rennes
2000/01,St Etienne,Metz,2,0,2,St Etienne,Metz
2000/01,Toulouse,Paris SG,2,3,5,Paris SG,Toulouse
2000/01,Troyes,Bastia,0,0,0,Draw,Draw
2000/01,Marseille,Lille,0,1,1,Lille,Marseille
2000/01,Strasbourg,Marseille,1,1,2,Draw,Draw
2000/01,Bastia,St Etienne,0,0,0,Draw,Draw
2000/01,Lille,Toulouse,1,0,1,Lille,Toulouse
2000/01,Lyon,Auxerre,2,2,4,Draw,Draw
2000/01,Metz,Lens,2,1,3,Metz,Lens
2000/01,Paris SG,Bordeaux,1,2,3,Bordeaux,Paris SG
2000/01,Rennes,Guingamp,1,2,3,Guingamp,Rennes
2000/01,Sedan,Nantes,2,0,2,Sedan,Nantes
2000/01,Troyes,Monaco,1,0,1,Troyes,Monaco
2000/01,Monaco,Lyon,0,2,2,Lyon,Monaco
2000/01,Auxerre,Paris SG,1,0,1,Auxerre,Paris SG
2000/01,Bordeaux,Lille,1,0,1,Bordeaux,Lille
2000/01,Guingamp,Sedan,0,3,3,Sedan,Guingamp
2000/01,Lens,Bastia,4,0,4,Lens,Bastia
2000/01,Marseille,Rennes,0,1,1,Rennes,Marseille
2000/01,Nantes,Metz,2,0,2,Nantes,Metz
2000/01,St Etienne,Troyes,4,1,5,St Etienne,Troyes
2000/01,Toulouse,Strasbourg,0,0,0,Draw,Draw
2000/01,St Etienne,Monaco,1,0,1,St Etienne,Monaco
2000/01,Lille,Auxerre,1,1,2,Draw,Draw
2000/01,Metz,Guingamp,1,1,2,Draw,Draw
2000/01,Paris SG,Lyon,1,1,2,Draw,Draw
2000/01,Rennes,Toulouse,1,1,2,Draw,Draw
2000/01,Sedan,Marseille,2,0,2,Sedan,Marseille
2000/01,Troyes,Lens,1,0,1,Troyes,Lens
2000/01,Strasbourg,Bordeaux,0,2,2,Bordeaux,Strasbourg
